日付,検査人数,陽性者数,非確定,備考
2020/04/29,130,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/30,94,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/05/01,150,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/05/02,134,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/05/03,87,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/05/04,60,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/05/05,61,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/05/06,44,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/05/07,69,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/05/08,122,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/05/09,120,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/05/10,60,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/05/11,55,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/05/12,122,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/13,159,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/14,123,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/15,67,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/16,115,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/17,98,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/18,73,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/19,119,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/20,83,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/21,74,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/22,81,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/23,90,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/24,30,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/25,36,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/26,57,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/27,101,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/28,50,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/29,87,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/30,72,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/05/31,13,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/06/01,69,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/06/02,73,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/06/03,81,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/06/04,102,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/06/05,106,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/06/06,78,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/06/07,50,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/06/08,143,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/06/09,117,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/06/10,111,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/06/11,99,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/06/12,103,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/06/13,81,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/06/14,20,,1,「検査陽性者の状況」の累計の検査実施人数から算出
2020/06/15,58,,1,「検査陽性者の状況」の累計の検査実施人数から算出
